size,time,max_time,connectivity,t_bqm,t_sim,t_quant,t_one_start,t_precedence,t_share_machine,t_remove_absurd_times,t_stitcher,t_edit_bqm,sim_sol,quant_sol,quant_reverse_sol_45,quant_reverse_sol_70,hybrid_sol,greedy_sol,tabu_sol,num_var,num_var_jobs,num_var_aux,qubits,max_chain,qpu_sampling_time,qpu_anneal_time_per_sample,qpu_readout_time_per_sample,qpu_access_time,qpu_access_overhead_time,qpu_programming_time,qpu_delay_time_per_sample,post_processing_overhead_time,total_post_processing_time,problem_id
4,1,9,0.131638418079096,0.890399217605591,1.14561223983765,0.436707258224487,0.00269341468811,0.01643180847168,0.018710136413574,0.003298282623291,0.848867654800415,5.07831573486328E-05,4.40000201061451,8.40000240481789,6.4000024205799,6.88000631332397,4.4000021820042,12.0000025045006,4.40000230121349,60,60,0,146,4,98340,20,57,115415,17495,17075,21,66,1469,9188456c-71d7-4d03-9f96-7d8c4104a904
4,1,8,0.121468926553672,0.91672945022583,1.13798117637634,0.507298469543457,0.002232074737549,0.015780210494995,0.035224437713623,0.00273323059082,0.860373735427856,5.48362731933594E-05,2.00000173467271,4.400002010615,2.00000238434291,4.0000022649765,2.00000214576721,8.00000234476551,2.00000238418579,60,60,0,136,4,101340,20,60,118407,18565,17067,21,216,1447,c896aebe-c7db-478d-820d-389eab77ab85
4,1,9,0.132203389830508,1.02942705154419,1.14947652816772,0.513589143753052,0.003223896026611,0.019612073898315,0.021903276443481,0.003729820251465,0.980513095855713,5.43594360351562E-05,2.40000193193128,6.80000236555468,4.40000232108076,4.48000552335936,2.40000208266218,8.0000026226044,2.40000208266218,60,60,0,127,4,112580,20,72,129640,18093,17060,21,188,1339,ca799c04-6c86-4150-b892-419c80b3a8ae
4,1,9,0.128472222222222,0.991282939910889,1.2533586025238,0.532089948654175,0.002687931060791,0.016218185424805,0.032852649688721,0.003141164779663,0.935909509658814,5.91278076171875E-05,2.40000212937036,6.80000246412904,2.80000197887421,8.88000486310235,2.40000200271606,12.0000026028943,2.40000236034393,64,60,4,135,4,123260,20,82,140324,13432,17064,21,69,2792,6aae1b01-af2f-47ce-aec2-968b3a6c17d9
4,1,8,0.121031746031746,1.05596852302551,1.27805256843567,0.880998611450195,0.002219200134277,0.014934062957764,0.016820669174194,0.002682209014893,1.01890110969543,6.62803649902344E-05,2.0000018731385,6.80000206992617,4.00000262260437,8.00000512710498,2.00000238418579,18.8000029730744,2.00000262260437,64,60,4,143,4,109060,20,68,126132,15501,17072,21,219,1384,73b6e637-e014-4c95-99a1-9edf4835d867
4,1,9,0.126369327073552,1.0756528377533,1.41266703605652,0.942074298858643,0.002694368362427,0.016296625137329,0.018121957778931,0.003001928329468,1.03510546684265,5.36441802978516E-05,4.00000226684608,8.0000025033685,4.00000220542722,4.00000220542722,4.00000196700864,14.0000027025505,4.00000238418579,72,64,8,237,8,97740,20,57,114789,16357,17049,21,102,1936,a8e58c5a-f2a5-486d-b858-c4661a96791b
4,1,9,0.130672926447574,1.54920315742493,1.41758751869202,1.04912567138672,0.003171920776367,0.035666704177856,0.020059823989868,0.003265619277954,1.48661589622498,5.98430633544922E-05,2.00000291728014,6.40000303554235,4.0000022649765,2.00000300047206,2.00000190734863,10.4000021425839,2.80000174045563,72,68,4,176,5,91500,20,50,108562,133766,17062,21,315,4315,e30d62f5-4e76-4a30-9246-47938efe0629
4,1,9,0.125949367088608,1.62292742729187,1.60558581352234,3.03955316543579,0.002790689468384,0.015197277069092,0.030898332595825,0.002350330352783,1.57127070426941,6.77108764648437E-05,2.40000337077021,10.0000038632112,4.8000054359436,2.40000200271606,2.40000528160284,14.0000059614129,2.80000555515289,80,72,8,222,5,123740,20,83,140794,14520,17054,21,320,3536,0c101323-b2f0-40a1-80df-a7217f17f6e1
4,1,9,0.121055651176133,2.06061959266663,1.70516586303711,2.05218386650085,0.003259658813477,0.035969018936157,0.019439697265625,0.002895832061768,1.99858093261719,8.15391540527344E-05,2.08000372521457,8.08000437565135,4.48000552335936,4.40000253978919,2.08000554720122,14.0000057427044,2.40000557899475,84,76,8,252,6,131500,20,90,148539,12857,17039,21,310,3724,a09d53b9-68cd-4cc3-9e69-019cc2f38522
4,1,10,0.12679288582903,1.41749477386475,1.6827244758606,1.76301050186157,0.004337310791016,0.019792318344116,0.020720958709717,0.003190994262695,1.36905860900879,5.26905059814453E-05,2.40000354816118,10.8000045924866,7.20000565052033,2.80000257492065,2.4000049829483,8.00000538523369,2.40000557899475,84,76,8,279,7,123740,20,83,140783,25041,17043,21,377,3001,44834fe2-d3d1-4a16-9077-0b6f71f8ed6e
